omegaRadPerSecond,level,quantity,characteristicMeshSizeM,value,zeroMeshExtrapolate,absoluteErrorToExtrapolate,coarseMinusMedium,mediumMinusFine
0.5,Coarse,A33,31.7704071647055,175793.192975008,521788.814463269,345995.621488261,7246.90152908553,-17848.8541502148
0.5,Coarse,B33,31.7704071647055,40.5131466733968,166452.064703896,166411.551557222,3.38382233097397,-10556.4087464839
0.5,Coarse,F3,31.7704071647055,680782.525853181,593710.754320627,87071.7715325532,-1919.71793304337,4437.40950507997
0.5,Coarse,RAO3,31.7704071647055,1.00591683641976,1.00536447120856,0.000552365211198502,-0.000143351991946483,-4.61270176197459e-05
0.5,Medium,A33,26.3692252925203,168546.291445923,521788.814463269,353242.523017347,7246.90152908553,-17848.8541502148
0.5,Medium,B33,26.3692252925203,37.1293243424228,166452.064703896,166414.935379553,3.38382233097397,-10556.4087464839
0.5,Medium,F3,26.3692252925203,682702.243786224,593710.754320627,88991.4894655966,-1919.71793304337,4437.40950507997
0.5,Medium,RAO3,26.3692252925203,1.00606018841171,1.00536447120856,0.000695717203144985,-0.000143351991946483,-4.61270176197459e-05
0.5,Fine,A33,21.2950705031811,186395.145596137,521788.814463269,335393.668867132,7246.90152908553,-17848.8541502148
0.5,Fine,B33,21.2950705031811,10593.5380708263,166452.064703896,155858.526633069,3.38382233097397,-10556.4087464839
0.5,Fine,F3,21.2950705031811,678264.834281144,593710.754320627,84554.0799605167,-1919.71793304337,4437.40950507997
0.5,Fine,RAO3,21.2950705031811,1.00610631542933,1.00536447120856,0.000741844220764731,-0.000143351991946483,-4.61270176197459e-05
0.6,Coarse,A33,24.6305455837016,183776.054621886,-582045.434406693,765821.48902858,7378.54342111945,52767.2225019198
0.6,Coarse,B33,24.6305455837016,127.525543361628,248444.548784779,248317.023241418,11.1259389674457,-15748.686714119
0.6,Coarse,F3,24.6305455837016,632124.409160611,909427.447723608,277303.038562997,-2819.24581666908,-19190.4604895341
0.6,Coarse,RAO3,24.6305455837016,1.0113194059487,1.00710141607298,0.0042179898757253,-0.000211756374814964,0.000147712179158654
0.6,Medium,A33,20.4431879707179,176397.511200767,-582045.434406693,758442.94560746,7378.54342111945,52767.2225019198
0.6,Medium,B33,20.4431879707179,116.399604394182,248444.548784779,248328.149180385,11.1259389674457,-15748.686714119
0.6,Medium,F3,20.4431879707179,634943.65497728,909427.447723608,274483.792746327,-2819.24581666908,-19190.4604895341
0.6,Medium,RAO3,20.4431879707179,1.01153116232352,1.00710141607298,0.00442974625054027,-0.000211756374814964,0.000147712179158654
0.6,Fine,A33,16.5093636357116,123630.288698847,-582045.434406693,705675.72310554,7378.54342111945,52767.2225019198
0.6,Fine,B33,16.5093636357116,15865.0863185132,248444.548784779,232579.462466266,11.1259389674457,-15748.686714119
0.6,Fine,F3,16.5093636357116,654134.115466814,909427.447723608,255293.332256793,-2819.24581666908,-19190.4604895341
0.6,Fine,RAO3,16.5093636357116,1.01138345014436,1.00710141607298,0.00428203407138161,-0.000211756374814964,0.000147712179158654
0.7,Coarse,A33,19.5393611592451,206239.562933399,-1286440.16778339,1492679.73071679,-17967.2437785204,84532.2107978409
0.7,Coarse,B33,19.5393611592451,597.17185819196,50654.7847001106,50057.6128419187,-826.881545551604,-3644.22983272099
0.7,Coarse,F3,19.5393611592451,567391.685923217,1304521.23832294,737129.552399723,8739.26402481447,-41820.1055352796
0.7,Coarse,RAO3,19.5393611592451,1.02183642070354,1.00330654949258,0.0185298712109661,-0.000469279233140218,0.000909936923518817
0.7,Medium,A33,16.2175389760962,224206.806711919,-1286440.16778339,1510646.97449531,-17967.2437785204,84532.2107978409
0.7,Medium,B33,16.2175389760962,1424.05340374356,50654.7847001106,49230.7312963671,-826.881545551604,-3644.22983272099
0.7,Medium,F3,16.2175389760962,558652.421898403,1304521.23832294,745868.816424538,8739.26402481447,-41820.1055352796
0.7,Medium,RAO3,16.2175389760962,1.02230569993668,1.00330654949258,0.0189991504441063,-0.000469279233140218,0.000909936923518817
0.7,Fine,A33,13.0968442209796,139674.595914078,-1286440.16778339,1426114.76369747,-17967.2437785204,84532.2107978409
0.7,Fine,B33,13.0968442209796,5068.28323646455,50654.7847001106,45586.5014636461,-826.881545551604,-3644.22983272099
0.7,Fine,F3,13.0968442209796,600472.527433682,1304521.23832294,704048.710889258,8739.26402481447,-41820.1055352796
0.7,Fine,RAO3,13.0968442209796,1.02139576301316,1.00330654949258,0.0180892135205875,-0.000469279233140218,0.000909936923518817
0.8,Coarse,A33,15.9223211860859,457868.592246296,4135419.71431904,3677551.12207275,346945.569049176,-36872.1341196368
0.8,Coarse,B33,15.9223211860859,27474.37869602,325444.555227635,297970.176531615,26610.9468039874,-3836.90277709463
0.8,Coarse,F3,15.9223211860859,343205.506658933,-2021029.49010564,2364234.99676458,-222822.385365635,23830.7483449958
0.8,Coarse,RAO3,15.9223211860859,1.05998532595865,1.27234897724255,0.212363651283904,0.0215581762814507,-0.00126654779587643
0.8,Medium,A33,13.2154200089132,110923.02319712,4135419.71431904,4024496.69112192,346945.569049176,-36872.1341196368
0.8,Medium,B33,13.2154200089132,863.431892032629,325444.555227635,324581.123335602,26610.9468039874,-3836.90277709463
0.8,Medium,F3,13.2154200089132,566027.892024568,-2021029.49010564,2587057.38213021,-222822.385365635,23830.7483449958
0.8,Medium,RAO3,13.2154200089132,1.0384271496772,1.27234897724255,0.233921827565355,0.0215581762814507,-0.00126654779587643
0.8,Fine,A33,10.6724144413444,147795.157316757,4135419.71431904,3987624.55700229,346945.569049176,-36872.1341196368
0.8,Fine,B33,10.6724144413444,4700.33466912726,325444.555227635,320744.220558508,26610.9468039874,-3836.90277709463
0.8,Fine,F3,10.6724144413444,542197.143679572,-2021029.49010564,2563226.63378522,-222822.385365635,23830.7483449958
0.8,Fine,RAO3,10.6724144413444,1.03969369747308,1.27234897724255,0.232655279769478,0.0215581762814507,-0.00126654779587643
0.9,Coarse,A33,13.3490233684817,77477.8657154868,-370076.737474239,447554.603189726,-67848.1603902795,-10022.9488723163
0.9,Coarse,B33,13.3490233684817,2046.92089495676,133778.638171271,131731.717276314,1604.94938530614,-7449.18954828744
0.9,Coarse,F3,13.3490233684817,539971.606545275,899372.800089141,359401.193543866,54639.4302608778,8136.58949558705
0.9,Coarse,RAO3,13.3490233684817,1.06356417722129,1.00636764864393,0.0571965285773599,-0.00842221409813559,-0.00114012115983297
0.9,Medium,A33,11.0796000445868,145326.026105766,-370076.737474239,515402.763580005,-67848.1603902795,-10022.9488723163
0.9,Medium,B33,11.0796000445868,441.971509650614,133778.638171271,133336.66666162,1604.94938530614,-7449.18954828744
0.9,Medium,F3,11.0796000445868,485332.176284397,899372.800089141,414040.623804743,54639.4302608778,8136.58949558705
0.9,Medium,RAO3,11.0796000445868,1.07198639131942,1.00636764864393,0.0656187426754955,-0.00842221409813559,-0.00114012115983297
0.9,Fine,A33,8.94758421907258,155348.974978083,-370076.737474239,525425.712452321,-67848.1603902795,-10022.9488723163
0.9,Fine,B33,8.94758421907258,7891.16105793805,133778.638171271,125887.477113333,1604.94938530614,-7449.18954828744
0.9,Fine,F3,8.94758421907258,477195.58678881,899372.800089141,422177.213300331,54639.4302608778,8136.58949558705
0.9,Fine,RAO3,8.94758421907258,1.07312651247926,1.00636764864393,0.0667588638353285,-0.00842221409813559,-0.00114012115983297
1,Coarse,A33,11.4833329414551,119485.539718448,-450734.596225902,570220.13594435,-51498.0431163754,7018.06241393357
1,Coarse,B33,11.4833329414551,447.068015305528,317656.204242476,317209.13622717,-1463.00219356192,-20954.4132856239
1,Coarse,F3,11.4833329414551,448663.479928386,1036234.65010277,587571.170174386,51685.0115773847,-8013.06387568126
1,Coarse,RAO3,11.4833329414551,1.12170595624257,0.930185190854212,0.191520765388353,-0.0174326757772416,0.00228018973793898
1,Medium,A33,9.53108947809281,170983.582834823,-450734.596225902,621718.179060725,-51498.0431163754,7018.06241393357
1,Medium,B33,9.53108947809281,1910.07020886745,317656.204242476,315746.134033608,-1463.00219356192,-20954.4132856239
1,Medium,F3,9.53108947809281,396978.468351001,1036234.65010277,639256.181751771,51685.0115773847,-8013.06387568126
1,Medium,RAO3,9.53108947809281,1.13913863201981,0.930185190854212,0.208953441165595,-0.0174326757772416,0.00228018973793898
1,Fine,A33,7.69704912285326,163965.52042089,-450734.596225902,614700.116646792,-51498.0431163754,7018.06241393357
1,Fine,B33,7.69704912285326,22864.4834944914,317656.204242476,294791.720747984,-1463.00219356192,-20954.4132856239
1,Fine,F3,7.69704912285326,404991.532226683,1036234.65010277,631243.11787609,51685.0115773847,-8013.06387568126
1,Fine,RAO3,7.69704912285326,1.13685844228187,0.930185190854212,0.206673251427656,-0.0174326757772416,0.00228018973793898
1.1,Coarse,A33,10.0936485599831,131271.374133076,7595624.37128684,7464352.99715376,300433.730105335,-303470.903640949
1.1,Coarse,B33,10.0936485599831,192.61948173178,-7644399.34184905,7644591.96133078,-342228.630261515,291240.202833008
1.1,Coarse,F3,10.0936485599831,375242.728502745,-11312888.4788858,11688131.2073886,-475002.747646095,472607.651967852
