mesh_level,region,panel_count,minimum_h_m,q25_h_m,median_h_m,q75_h_m,maximum_h_m,mean_h_m,base_annulus_panel_count,structured_core_panel_count,outer_truncation_panel_count
MESH_L1,BASE_ANNULAR_O_GRID,224,2.24269310486582,2.78803336061905,3.64143451462555,19.9478677910795,24.1466868205689,10.0851947982087,224,192,224
MESH_L1,STRUCTURED_5_BLOCK_CORE,192,0.44194173825,0.44194173825,0.595993432764072,0.74588028228845,0.923075995809458,0.61729233431198,224,192,224
MESH_L1,OUTER_FIXED_1_TO_2_AND_EQUAL_RINGS,224,8.16450417669041,8.16450417694942,17.2742562528693,18.6665958961665,18.6665958961666,14.2138688421696,224,192,224
MESH_L1,ALL_BOTTOM,640,0.44194173825,0.789584358109923,5.90296934598425,17.2742562528693,24.1466868205689,8.68985997442601,224,192,224
MESH_L2,BASE_ANNULAR_O_GRID,360,1.74656006640258,2.42204302993292,2.94654251788653,14.0552562086315,19.0936504423638,8.05738327847924,360,300,360
MESH_L2,STRUCTURED_5_BLOCK_CORE,300,0.3535533906,0.3535533906,0.481171411977144,0.582451896413984,0.752559614611055,0.494155706991613,360,300,360
MESH_L2,OUTER_FIXED_1_TO_2_AND_EQUAL_RINGS,360,6.47691750048413,8.99186795966265,12.6510166609383,13.4024511905637,14.1139354283469,11.3645010578628,360,300,360
MESH_L2,ALL_BOTTOM,1020,0.3535533906,0.650260442033254,6.47691750054304,13.4024511905637,19.0936504423638,7.00012262076531,360,300,360
MESH_L3,BASE_ANNULAR_O_GRID,672,1.32266584512466,1.91500847731771,4.60140286230448,10.3562960659534,13.4385667212934,6.14718056034606,672,588,616
MESH_L3,STRUCTURED_5_BLOCK_CORE,588,0.252538136142857,0.252538136142857,0.348573300653948,0.421780544064345,0.54746653376756,0.353247970187563,672,588,616
MESH_L3,OUTER_FIXED_1_TO_2_AND_EQUAL_RINGS,616,4.58040302735257,6.39117788411212,9.80538212902873,10.2407810441141,10.6584086096705,8.69641694784278,672,588,616
MESH_L3,ALL_BOTTOM,1876,0.252538136142857,0.446372599622893,4.58040302741538,9.80538212902875,13.4385667212934,5.16823453245948,672,588,616
